uniq_id,clust8_EV1234
user_154 _ 2021-04-14,1
user_154 _ 2021-04-15,1
user_154 _ 2021-04-16,6
user_154 _ 2021-04-17,1
user_154 _ 2021-04-18,1
user_154 _ 2021-04-20,1
user_154 _ 2021-04-21,1
user_154 _ 2021-04-22,1
user_154 _ 2021-04-23,8
user_154 _ 2021-04-24,3
user_154 _ 2021-04-25,1
user_154 _ 2021-04-26,8
user_154 _ 2021-04-27,1
user_155 _ 2021-04-14,8
user_155 _ 2021-04-16,8
user_155 _ 2021-04-20,8
user_155 _ 2021-04-27,1
user_155 _ 2021-04-28,3
user_157 _ 2021-04-15,1
user_157 _ 2021-04-16,8
user_157 _ 2021-04-18,8
user_157 _ 2021-04-19,8
user_157 _ 2021-05-07,6
user_157 _ 2021-05-08,5
user_157 _ 2021-05-09,8
user_16 _ 2021-02-21,1
user_16 _ 2021-02-28,1
user_16 _ 2021-03-01,8
user_16 _ 2021-03-02,1
user_16 _ 2021-03-03,1
user_16 _ 2021-03-04,1
user_16 _ 2021-03-05,8
user_16 _ 2021-03-06,1
user_16 _ 2021-03-07,1
user_16 _ 2021-03-08,1
user_16 _ 2021-03-09,1
user_16 _ 2021-03-11,1
user_16 _ 2021-03-12,1
user_16 _ 2021-03-13,1
user_16 _ 2021-03-14,1
user_16 _ 2021-03-15,1
user_161 _ 2021-04-20,1
user_161 _ 2021-04-21,1
user_161 _ 2021-04-22,1
user_161 _ 2021-04-23,1
user_161 _ 2021-04-24,1
user_161 _ 2021-04-25,1
user_161 _ 2021-04-26,1
user_161 _ 2021-04-27,1
user_161 _ 2021-04-28,1
user_161 _ 2021-04-29,1
user_161 _ 2021-04-30,1
user_161 _ 2021-05-01,1
user_161 _ 2021-05-02,1
user_161 _ 2021-05-03,1
user_161 _ 2021-05-04,1
user_161 _ 2021-05-05,1
user_161 _ 2021-05-10,1
user_161 _ 2021-05-11,1
user_162 _ 2021-04-21,8
user_162 _ 2021-04-22,1
user_162 _ 2021-04-23,6
user_162 _ 2021-04-24,5
user_162 _ 2021-04-25,1
user_162 _ 2021-04-26,1
user_162 _ 2021-04-27,3
user_162 _ 2021-04-28,6
user_162 _ 2021-04-29,1
user_162 _ 2021-04-30,8
user_162 _ 2021-05-01,3
user_162 _ 2021-05-02,1
user_162 _ 2021-05-03,8
user_162 _ 2021-05-04,8
user_162 _ 2021-05-05,8
user_162 _ 2021-05-06,1
user_162 _ 2021-05-07,1
user_162 _ 2021-05-08,1
user_162 _ 2021-05-09,1
user_162 _ 2021-05-10,1
user_163 _ 2021-04-21,8
user_163 _ 2021-04-22,8
user_163 _ 2021-04-25,1
user_163 _ 2021-04-26,8
user_163 _ 2021-04-27,8
user_163 _ 2021-04-28,8
user_163 _ 2021-04-29,8
user_163 _ 2021-04-30,8
user_163 _ 2021-05-04,1
user_163 _ 2021-05-05,8
user_163 _ 2021-05-06,3
user_163 _ 2021-05-09,1
user_165 _ 2021-04-21,8
user_165 _ 2021-04-22,8
user_165 _ 2021-04-23,1
user_165 _ 2021-04-24,3
user_165 _ 2021-04-25,1
user_165 _ 2021-04-26,8
user_165 _ 2021-04-27,8
user_165 _ 2021-04-29,8
user_165 _ 2021-04-30,1
user_165 _ 2021-05-01,1
user_165 _ 2021-05-02,3
user_165 _ 2021-05-03,8
user_165 _ 2021-05-04,1
user_165 _ 2021-05-05,8
user_166 _ 2021-04-23,1
user_166 _ 2021-04-24,1
user_166 _ 2021-04-25,1
user_166 _ 2021-04-26,3
user_166 _ 2021-04-27,1
user_166 _ 2021-04-29,1
user_166 _ 2021-04-30,1
user_166 _ 2021-05-01,1
user_166 _ 2021-05-02,3
user_166 _ 2021-05-03,3
user_166 _ 2021-05-04,1
user_166 _ 2021-05-07,1
user_166 _ 2021-05-08,1
user_166 _ 2021-05-09,1
user_166 _ 2021-05-10,3
user_166 _ 2021-05-11,1
user_167 _ 2021-04-22,1
user_170 _ 2021-04-24,3
user_170 _ 2021-04-25,3
user_170 _ 2021-04-26,1
user_170 _ 2021-04-27,1
user_170 _ 2021-04-28,1
user_170 _ 2021-04-29,1
user_170 _ 2021-04-30,1
user_170 _ 2021-05-01,3
user_170 _ 2021-05-02,1
user_170 _ 2021-05-04,3
user_170 _ 2021-05-05,1
user_170 _ 2021-05-06,1
user_170 _ 2021-05-07,3
user_170 _ 2021-05-08,4
user_170 _ 2021-05-09,1
user_173 _ 2021-04-24,1
user_173 _ 2021-04-25,3
user_173 _ 2021-04-26,1
user_173 _ 2021-04-29,8
user_173 _ 2021-04-30,1
user_173 _ 2021-05-01,1
user_173 _ 2021-05-02,1
user_173 _ 2021-05-03,1
user_173 _ 2021-05-04,8
user_173 _ 2021-05-05,1
user_173 _ 2021-05-06,1
user_173 _ 2021-05-08,3
user_173 _ 2021-05-09,1
user_173 _ 2021-05-10,1
user_174 _ 2021-04-26,5
